Symbol,DaysBetterThanSP,daysProfit,Year,Month,Day,dayOfWeek,NameLength,LastSale,MarketCap,Sector,Industry,CEOAge,CEOGender,City,stateCountry,netIncome,employees,IPOafterXYears,MarketMonthTrend,Market3MonthTrend,Market6MonthTrend,MarketYearTrend,USACompany,FiscalMonth,Profitable,Safe,HomeRun
SFLY,127,182,2006,9,29,4,16,82.06,2668338783.0,Miscellaneous,Other Consumer Services,46,male, Redwood City, CA,30090000.0,1934,7,1.5486089969999999,1.8037232159999999,1.8926457859999999,1.883852574,Yes,Dec,1,0,0
SFM,120,191,2013,8,1,3,28,24.59,3271040095.0,Consumer Services,Food Chains,44,male, Phoenix, AZ,158440000.0,27000,11,1.315754459,1.998941795,1.929864796,2.035689639,Yes,Dec,1,0,0
SFS,116,262,2014,9,24,2,5,5.15,382196136.3,Consumer Services,Food Chains,61,male, Commerce, CA,-138910000.0,11864,2,0.003491422,0.932609751,1.238402705,1.52262566,Yes,Dec,1,0,0
SGBX,92,110,2017,6,22,3,15,4.79,20405596.39,Consumer Services,RETAIL: Building Materials,54,male, New York, NY,-4510000.0,8,24,0.515582655,1.322870285,1.473695664,1.6496305009999999,Yes,Dec,0,0,0
SGEN,108,37,2001,3,7,2,22,50.32,7958604860.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),56,male, Bothell, WA,-125530000.0,1100,4,-0.6533070529999999,-1.417718817,-1.575026686,-2.035826071,Yes,Dec,0,0,0
SGLB,1,242,2002,5,17,4,16,1.21,6024504.09,Consumer Durables,Miscellaneous manufacturing industries,71,male, Santa Fe, NM,-4580000.0,800,-3,0.8792154109999999,-0.323162885,-0.697429909,-0.59044429,Yes,Dec,1,0,0
SGMO,122,178,2000,4,6,3,26,17.9,1545467670.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),54,male, Richmond, CA,-54570000.0,182,5,0.7026269270000001,1.4812653580000001,1.65807441,2.257381107,Yes,Dec,1,0,1
SGRY,131,137,2015,10,1,3,22,16.9,821535668.2,Health Care,Hospital/Nursing Management,47,male, Nashville, TN,-68550000.0,10600,11,-0.658896842,-1.275931083,-2.00925716,-1.9467536109999999,Yes,Dec,1,1,0
SGYP,13,260,2008,9,23,1,29,1.77,436588849.6,Health Care,Major Pharmaceuticals,45,male, New York, NY,-224340000.0,118,3,-1.517481226,-2.413439298,-2.032001665,-2.005709918,Yes,Dec,1,0,1
SHAK,117,167,2015,1,30,4,17,43.5,1599928434.0,Consumer Services,Restaurants,42,male, New York, NY,-32000.0,4440,1,-1.619735216,-1.765738655,-0.160989677,0.601845301,Yes,Dec,1,0,0
SHBI,11,206,1997,1,1,2,20,18.9,240708850.2,Finance,Major Banks,70,male, Easton, MD,11260000.0,346,1,-0.276453944,-0.506489584,-0.506489584,-0.506489584,Yes,Dec,1,0,0
SHEN,71,144,2000,1,3,0,32,38.0,1882029306.0,Public Utilities,Telecommunications Equipment,59,male, Edinburg, VA,66390000.0,1066,98,0.957913569,1.285730832,1.7865613009999999,2.1821948680000003,Yes,Dec,1,0,0
SHG,101,143,2003,9,16,1,30,42.79,20291000328.0,Finance,Major Banks,60,male, Seoul, South Korea,2900060000000.0,800,2,1.487936867,2.146876217,1.439090243,1.847790506,No,Dec,1,0,0
SHIP,0,0,2001,7,13,4,31,0.79,30209083.34,Transportation,Marine Transportation,45,male, Athens, Greece,-3240000.0,27,-7,-0.049360947999999995,-0.859479049,-0.488812356,-1.070767402,No,Dec,0,0,0
SHLD,124,255,2003,4,28,0,26,3.35,361657323.5,Consumer Services,Department/Specialty Retail Stores,55,male, Hoffman Estates, IL,-383000000.0,89000,-1,1.6062140580000002,2.08441309,1.024770305,0.045966519000000004,Yes,Jan,1,0,1
SHLX,131,254,2014,10,29,2,30,21.73,4863430001.0,Energy,Natural Gas Distribution,59,male, Houston, TX,230700000.0,800,0,1.227180723,0.522533576,0.815862484,1.299191749,Yes,Dec,1,1,0
SHO,135,253,2004,10,21,3,30,15.51,3499331644.0,Consumer Services,Hotels/Resorts,48,male, Aliso Viejo, CA,137520000.0,49,19,-0.943008255,0.027526977999999997,-0.304020525,-0.079036223,Yes,Dec,1,1,0
SHOS,127,261,2012,10,12,4,38,3.55,80592568.6,Consumer Services,Department/Specialty Retail Stores,44,male, Hoffman Estates, IL,-95060000.0,2962,0,-1.826005174,0.44460616,1.033517722,1.2421702159999999,Yes,Jan,1,0,0
SHPG,111,210,1998,3,25,2,9,152.41,10678849896.0,Health Care,Major Pharmaceuticals,60,male, Dublin, Ireland,3300000000.0,23044,12,1.628189927,1.8664117569999998,2.518394953,2.217543951,No,Dec,1,0,0
SHSP,42,262,2011,5,2,0,17,6.35,53636799.0,Technology,Computer Software: Prepackaged Software,42,male, Gainesville, FL,-4980000.0,149,13,1.693231213,2.08038086,1.6515920519999998,1.7194426,Yes,Dec,1,0,1
SIEN,129,205,2014,10,29,2,13,10.6,208221280.2,Health Care,Industrial Specialties,70,male, Santa Barbara, CA,-64030000.0,200,8,1.227180723,0.522533576,0.815862484,1.299191749,Yes,Dec,1,0,0
SIGA,68,50,1997,9,9,1,22,6.24,493203360.0,Health Care,Major Pharmaceuticals,49,male, New York, NY,-36240000.0,37,2,1.055653905,0.7434947120000001,1.136342019,1.54986297,Yes,Dec,0,0,0
SIMO,125,261,2005,6,30,3,37,48.13,1718862791.0,Technology,Semiconductors,56,male, Jhubei City, Taiwan,75330000.0,800,0,-1.328916405,0.453623051,0.217367321,0.756440138,No,Dec,1,0,0
SINA,94,112,2000,4,13,3,16,94.81,6780304915.0,Technology,Computer Software: Prepackaged Software,51,male, Shanghai, China,156570000.0,800,1,-1.066245068,0.225017167,0.5214755670000001,1.1276779270000001,No,Dec,0,0,1
SINO,104,24,2008,5,21,2,34,1.14,14176509.9,Transportation,Oil Refining/Marketing,52,andy, Roslyn, NY,3620000.0,24,7,-0.731971308,0.773194857,0.058441569000000006,-0.7241444159999999,Yes,Jun,0,0,0
SITE,132,262,2016,5,12,3,30,78.27,3140477303.0,Consumer Non-Durables,Farming/Seeds/Milling,52,male, Roswell, GA,54600000.0,3800,12,-0.8405085090000001,0.631836309,0.7264679909999999,0.44424184299999997,Yes,Dec,1,1,0
SITO,72,29,2008,8,12,1,17,3.82,95941477.4,Miscellaneous,Business Services,62,male, Jersey City, NJ,-14670000.0,88,8,1.1147445679999999,-0.45999335,-0.8811415220000001,-1.2769442640000002,Yes,Dec,0,0,0
SIX,142,197,2010,5,14,4,39,61.22,5184199593.0,Consumer Services,Services-Misc. Amusement & Recreation,58,male, Grand Prairie, TX,273820000.0,2000,49,-1.5978460230000002,-0.610790025,0.046735507,0.809688255,Yes,Dec,1,1,0
SKIS,117,8,2014,11,21,4,18,4.9,68513760.0,Consumer Services,Hotels/Resorts,64,male, Wildwood, MO,1240000.0,6800,17,1.3292077709999999,1.686744375,2.333561011,2.125374002,Yes,Apr,0,0,0
SKX,103,44,1999,6,9,2,21,42.4,6786365411.0,Consumer Non-Durables,Shoe Manufacturing,77,male, Manhattan Beach, CA,179190000.0,11800,7,-0.162522714,-0.074109486,0.7870421790000001,1.223848021,Yes,Dec,0,0,0
SLAB,115,61,2000,3,24,4,26,93.55,4038630398.0,Technology,Semiconductors,50,male, Austin, TX,47090000.0,1279,4,2.03021465,2.487408082,2.339633252,3.0459806069999997,Yes,Dec,0,0,0
SLCA,122,112,2012,2,1,2,26,27.51,2219932050.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),55,male, Frederick, MD,145210000.0,2202,4,1.364073525,1.6465654280000002,1.9073489369999999,0.863155188,Yes,Dec,0,0,0
SLCT,5,221,2000,12,15,4,20,13.32,186665374.4,Finance,Major Banks,53,male, Dunn, NC,3190000.0,202,-3,-1.594005775,-1.7659722080000002,-2.096155294,-2.338282852,Yes,Dec,1,0,0
SLF,136,262,2000,3,23,3,23,40.75,24840201218.0,Finance,Life Insurance,61,male, Toronto, Canada,2240000000.0,21495,135,2.348703078,2.616890321,2.390180382,3.099932786,No,Dec,1,1,1
SLG,106,148,1997,8,15,4,27,96.52,8718371499.0,Consumer Services,Real Estate Investment Trusts,51,male, New York, NY,112780000.0,1065,0,-2.484480107,0.083682645,0.901522237,1.258823225,Yes,Dec,1,0,0
SLGN,104,261,1997,2,14,4,20,27.94,3084166511.0,Consumer Durables,Containers/Packaging,52,male, Stamford, CT,269660000.0,12400,10,2.085028651,2.34774693,2.34774693,2.34774693,Yes,Dec,1,0,0
SLMBP,32,254,2005,7,11,0,15,70.76,283040000.0,Finance,Finance: Consumer Services,64,male, Newark, DE,288930000.0,1500,33,1.7574763469999999,1.6500217419999998,1.705115194,1.379441845,Yes,Dec,1,0,0
SMCI,122,205,2007,3,29,3,26,17.7,861865958.4,Technology,Computer Manufacturing,59,male, San Jose, CA,69320000.0,800,14,0.8885913559999999,-0.103359615,0.551896642,1.155390933,Yes,Jun,1,0,0
SMED,31,9,1998,12,18,4,23,4.41,70921712.61,Basic Industries,Environmental Services,57,male, Houston, TX,-1290000.0,130,6,1.116115513,1.301451527,1.3950777280000002,1.67055949,Yes,Jun,0,0,0
SMFG,53,75,1999,9,13,0,35,8.47,59736622465.0,Finance,Commercial Banks,63,male, Tokyo, Japan,706520000000.0,77205,-3,-0.012395475,-0.140093952,0.28078677399999996,0.8580495659999999,No,Mar,0,0,0
SMLP,130,196,2012,9,28,4,29,15.25,1114561439.0,Public Utilities,Natural Gas Distribution,44,male, The Woodlands, TX,75490000.0,347,0,0.17492894,1.120703378,1.480151594,1.460146185,Yes,Dec,1,1,0
SMMT,111,212,2015,3,5,3,23,13.52,85942232.48,Health Care,Major Pharmaceuticals,60,female, Abingdon, United Kingdom,-7130000.0,76,12,0.478684583,1.175480904,1.331173853,1.707432405,No,Jan,1,0,0
SMPL,76,246,2016,9,15,3,29,13.25,935219092.3,Consumer Non-Durables,Packaged Foods,58,male, Denver, CO,-2040000.0,145,-1,-1.205020054,0.007206285,0.732716879,1.103505422,Yes,Aug,1,0,0
SMTX,107,51,2000,7,21,4,16,2.436,41637020.63,Technology,Electrical Products,54,male, San Jose, CA,-7850000.0,1171,15,0.371631341,0.916212215,0.9089230290000001,1.236025557,Yes,Dec,0,0,0
SN,120,186,2011,12,14,2,26,3.74,317301027.8,Energy,Oil & Gas Production,43,male, Houston, TX,43190000.0,312,0,-0.310297114,0.01733212,-0.28408624,-0.905763311,Yes,Dec,1,0,0
SNAP,117,4,2017,3,2,3,9,14.58,17890178202.0,Technology,"Computer Software: Programming, Data Processing",26,male, Venice, CA,-3450000000.0,3069,6,1.350584393,2.1334724780000003,2.143025761,2.445809348,Yes,Dec,0,0,0
SNCR,128,227,2006,6,15,3,30,11.62,552122498.9,Technology,EDP Services,52,male, Bridgewater, NJ,-54950000.0,1765,6,-0.40377152200000005,-1.435626645,-1.332327731,0.095785744,Yes,Dec,1,0,1
SNDR,132,258,2017,4,6,3,24,27.06,4787324203.0,Transportation,Trucking Freight/Courier Services,59,male, Green Bay, WI,389900000.0,19600,82,-0.39191583399999996,0.673050027,1.147007556,1.698888313,Yes,Dec,1,1,0
SNES,102,66,2016,12,8,3,15,0.4701,7762406.845,Basic Industries,Agricultural Chemicals,67,female, Flagstaff, AZ,-12290000.0,39,12,2.20246562,2.6306796130000003,2.305121546,1.7678303819999999,Yes,Dec,0,0,0
SNHY,83,262,1997,1,9,3,26,54.0,1700167860.0,Capital Goods,Metal Fabrications,53,male, Sarasota, FL,31560000.0,1150,27,1.104326012,0.9099244040000001,0.9099244040000001,0.9099244040000001,Yes,Dec,1,0,0
SNMX,134,236,2004,6,22,1,13,1.11,53617747.47,Health Care,Biotechnology: Commercial Physical & Biological Resarch,57,male, San Diego, CA,-1260000.0,56,6,0.759965082,0.769381293,0.444520639,1.036949317,Yes,Dec,1,1,0
SNN,108,121,1999,11,16,1,26,38.16,16691947582.0,Health Care,Industrial Specialties,59,male, London, the United Kingdom,595580000.0,15933,143,1.729357539,2.47953161,2.30171859,1.974456166,No,Dec,0,0,0
